Source,Target,Weight
Gabon,Republic of the Congo,9
Gabon,Guinea,18
Gabon,Cameroon,8
Gabon,Burundi,3
Gabon,Ivory Coast,2
Gabon,Botswana,3
Gabon,Chad,3
Gabon,Equatorial Guinea,5
Gabon,Angola,3
Gabon,Cuba,2
Gabon,France,16
Gabon,Democratic Republic of the Congo,4
Gabon,Central African Republic,3
Colombia,Panama,25
Colombia,Dominica,3
Colombia,Haiti,4
Colombia,Nicaragua,3
Colombia,Ecuador,14
Colombia,Dominican Republic,2
Colombia,Guyana,1
Colombia,United States,14
Colombia,Honduras,3
Colombia,Mexico,5
Colombia,Peru,15
Colombia,China,1
Colombia,Austria,1
Colombia,Cuba,3
Colombia,India,15
Colombia,Venezuela,30
Colombia,Armenia,6
Colombia,Costa Rica,2
Colombia,Brazil,12
Colombia,Japan,3
Colombia,Jamaica,6
Colombia,Spain,23
Montenegro,Bosnia and Herzegovina,6
Montenegro,Russia,19
Montenegro,Norway,4
Montenegro,Hungary,13
Montenegro,Macedonia,10
Montenegro,Egypt,3
Montenegro,Romania,6
Montenegro,Germany,5
Montenegro,Australia,8
Montenegro,Italy,13
Montenegro,Slovenia,3
Montenegro,China,10
Montenegro,Croatia,43
Montenegro,Austria,15
Montenegro,Poland,1
Montenegro,Czech Republic,1
Montenegro,Serbia,87
Montenegro,Turkey,3
Montenegro,Netherlands,1
Montenegro,Bulgaria,3
Montenegro,Canada,9
Montenegro,Kosovo,7
Montenegro,Malta,3
Montenegro,United Kingdom,2
Montenegro,Albania,42
Montenegro,Mali,1
Montenegro,Greece,9
Montenegro,Spain,4
Belarus,Montenegro,3
Belarus,Bosnia and Herzegovina,2
Belarus,Sweden,3
Belarus,Andorra,3
Belarus,Syria,7
Belarus,Vatican City,2
Belarus,Latvia,16
Belarus,Turkmenistan,3
Belarus,Iceland,4
Belarus,Estonia,4
Belarus,Russia,256
Belarus,Fiji,2
Belarus,Haiti,1
Belarus,Norway,4
Belarus,Hungary,3
Belarus,Macedonia,4
Belarus,Nauru,1
Belarus,Cyprus,6
Belarus,Georgia,7
Belarus,Abkhazia,3
Belarus,Moldova,6
Belarus,Egypt,4
Belarus,Northern Cyprus,2
Belarus,United States,16
Belarus,Monaco,3
Belarus,Romania,4
Belarus,Germany,15
Belarus,Liechtenstein,3
Belarus,Australia,3
Belarus,Italy,3
Belarus,Slovenia,4
Belarus,China,5
Belarus,Croatia,5
Belarus,Luxembourg,4
Belarus,San Marino,2
Belarus,Austria,6
Belarus,Portugal,3
Belarus,Finland,4
Belarus,Poland,53
Belarus,Lithuania,83
Belarus,Czech Republic,2
Belarus,Slovakia,3
Belarus,Nepal,1
Belarus,Azerbaijan,7
Belarus,India,3
Belarus,France,4
Belarus,Serbia,4
Belarus,Vietnam,1
Belarus,Transnistria,3
Belarus,Armenia,10
Belarus,Turkey,3
Belarus,South Ossetia,2
Belarus,Kazakhstan,12
Belarus,Netherlands,3
Belarus,Ukraine,30
Belarus,Mongolia,1
Belarus,Bulgaria,4
Belarus,Kyrgyzstan,6
Belarus,Afghanistan,3
Belarus,Pakistan,2
Belarus,Belgium,3
Belarus,Canada,3
Belarus,Kosovo,3
Belarus,Ireland,3
Belarus,Japan,1
Belarus,Malta,3
Belarus,Tajikistan,3
Belarus,Denmark,6
Belarus,United Kingdom,3
Belarus,Jamaica,1
Belarus,Switzerland,3
Belarus,Albania,4
Belarus,Uzbekistan,3
Belarus,Nagorno-Karabakh,3
Belarus,Greece,3
Belarus,Indonesia,2
Belarus,Spain,3
Bosnia and Herzegovina,Montenegro,19
Bosnia and Herzegovina,Sweden,1
Bosnia and Herzegovina,Russia,8
Bosnia and Herzegovina,Hungary,11
Bosnia and Herzegovina,Macedonia,4
Bosnia and Herzegovina,United States,1
Bosnia and Herzegovina,Romania,3
Bosnia and Herzegovina,Germany,5
