Id,Label,Url
Gabon,Gabon,https://en.wikipedia.org/wiki/Gabon
Colombia,Colombia,https://en.wikipedia.org/wiki/Colombia
Montenegro,Montenegro,https://en.wikipedia.org/wiki/Montenegro
Belarus,Belarus,https://en.wikipedia.org/wiki/Belarus
Bosnia and Herzegovina,Bosnia and Herzegovina,https://en.wikipedia.org/wiki/Bosnia_and_Herzegovina
North Korea,North Korea,https://en.wikipedia.org/wiki/North_Korea
Niue,Niue,https://en.wikipedia.org/wiki/Niue
Trinidad and Tobago,Trinidad and Tobago,https://en.wikipedia.org/wiki/Trinidad_and_Tobago
Republic of the Congo,Republic of the Congo,https://en.wikipedia.org/wiki/Republic_of_the_Congo
Laos,Laos,https://en.wikipedia.org/wiki/Laos
Sweden,Sweden,https://en.wikipedia.org/wiki/Sweden
Chile,Chile,https://en.wikipedia.org/wiki/Chile
Senegal,Senegal,https://en.wikipedia.org/wiki/Senegal
Iran,Iran,https://en.wikipedia.org/wiki/Iran
Paraguay,Paraguay,https://en.wikipedia.org/wiki/Paraguay
Benin,Benin,https://en.wikipedia.org/wiki/Benin
Andorra,Andorra,https://en.wikipedia.org/wiki/Andorra
Jordan,Jordan,https://en.wikipedia.org/wiki/Jordan
Syria,Syria,https://en.wikipedia.org/wiki/Syria
Ghana,Ghana,https://en.wikipedia.org/wiki/Ghana
Vatican City,Vatican City,https://en.wikipedia.org/wiki/Vatican_City
Sri Lanka,Sri Lanka,https://en.wikipedia.org/wiki/Sri_Lanka
Panama,Panama,https://en.wikipedia.org/wiki/Panama
Solomon Islands,Solomon Islands,https://en.wikipedia.org/wiki/Solomon_Islands
Latvia,Latvia,https://en.wikipedia.org/wiki/Latvia
Samoa,Samoa,https://en.wikipedia.org/wiki/Samoa
Guinea,Guinea,https://en.wikipedia.org/wiki/Guinea
Lesotho,Lesotho,https://en.wikipedia.org/wiki/Lesotho
Lebanon,Lebanon,https://en.wikipedia.org/wiki/Lebanon
Cameroon,Cameroon,https://en.wikipedia.org/wiki/Cameroon
Bhutan,Bhutan,https://en.wikipedia.org/wiki/Bhutan
Turkmenistan,Turkmenistan,https://en.wikipedia.org/wiki/Turkmenistan
Brunei,Brunei,https://en.wikipedia.org/wiki/Brunei
Gambia,Gambia,https://en.wikipedia.org/wiki/The_Gambia
Eritrea,Eritrea,https://en.wikipedia.org/wiki/Eritrea
Iceland,Iceland,https://en.wikipedia.org/wiki/Iceland
Estonia,Estonia,https://en.wikipedia.org/wiki/Estonia
Uruguay,Uruguay,https://en.wikipedia.org/wiki/Uruguay
Yemen,Yemen,https://en.wikipedia.org/wiki/Yemen
Burundi,Burundi,https://en.wikipedia.org/wiki/Burundi
Russia,Russia,https://en.wikipedia.org/wiki/Russia
Ethiopia,Ethiopia,https://en.wikipedia.org/wiki/Ethiopia
Fiji,Fiji,https://en.wikipedia.org/wiki/Fiji
Dominica,Dominica,https://en.wikipedia.org/wiki/Dominica
Haiti,Haiti,https://en.wikipedia.org/wiki/Haiti
Norway,Norway,https://en.wikipedia.org/wiki/Norway
Hungary,Hungary,https://en.wikipedia.org/wiki/Hungary
Tuvalu,Tuvalu,https://en.wikipedia.org/wiki/Tuvalu
Macedonia,Macedonia,https://en.wikipedia.org/wiki/Republic_of_Macedonia
South Korea,South Korea,https://en.wikipedia.org/wiki/South_Korea
Qatar,Qatar,https://en.wikipedia.org/wiki/Qatar
Myanmar,Myanmar,https://en.wikipedia.org/wiki/Myanmar
South Africa,South Africa,https://en.wikipedia.org/wiki/South_Africa
Nauru,Nauru,https://en.wikipedia.org/wiki/Nauru
Ivory Coast,Ivory Coast,https://en.wikipedia.org/wiki/Ivory_Coast
Cyprus,Cyprus,https://en.wikipedia.org/wiki/Cyprus
Sierra Leone,Sierra Leone,https://en.wikipedia.org/wiki/Sierra_Leone
Georgia,Georgia,https://en.wikipedia.org/wiki/Georgia_(country)
Botswana,Botswana,https://en.wikipedia.org/wiki/Botswana
Uganda,Uganda,https://en.wikipedia.org/wiki/Uganda
Guatemala,Guatemala,https://en.wikipedia.org/wiki/Guatemala
Nicaragua,Nicaragua,https://en.wikipedia.org/wiki/Nicaragua
Kuwait,Kuwait,https://en.wikipedia.org/wiki/Kuwait
Zimbabwe,Zimbabwe,https://en.wikipedia.org/wiki/Zimbabwe
Abkhazia,Abkhazia,https://en.wikipedia.org/wiki/Abkhazia
Ecuador,Ecuador,https://en.wikipedia.org/wiki/Ecuador
Comoros,Comoros,https://en.wikipedia.org/wiki/Comoros
The Bahamas,The Bahamas,https://en.wikipedia.org/wiki/The_Bahamas
Saint Lucia,Saint Lucia,https://en.wikipedia.org/wiki/Saint_Lucia
Dominican Republic,Dominican Republic,https://en.wikipedia.org/wiki/Dominican_Republic
Grenada,Grenada,https://en.wikipedia.org/wiki/Grenada
Guyana,Guyana,https://en.wikipedia.org/wiki/Guyana
Moldova,Moldova,https://en.wikipedia.org/wiki/Moldova
Marshall Islands,Marshall Islands,https://en.wikipedia.org/wiki/Marshall_Islands
Sudan,Sudan,https://en.wikipedia.org/wiki/Sudan
Mozambique,Mozambique,https://en.wikipedia.org/wiki/Mozambique
Egypt,Egypt,https://en.wikipedia.org/wiki/Egypt
Northern Cyprus,Northern Cyprus,https://en.wikipedia.org/wiki/Northern_Cyprus
Chad,Chad,https://en.wikipedia.org/wiki/Chad
Belize,Belize,https://en.wikipedia.org/wiki/Belize
United States,United States,https://en.wikipedia.org/wiki/United_States
Saint Kitts and Nevis,Saint Kitts and Nevis,https://en.wikipedia.org/wiki/Saint_Kitts_and_Nevis
Monaco,Monaco,https://en.wikipedia.org/wiki/Monaco
Singapore,Singapore,https://en.wikipedia.org/wiki/Singapore
Romania,Romania,https://en.wikipedia.org/wiki/Romania
Honduras,Honduras,https://en.wikipedia.org/wiki/Honduras
Mauritania,Mauritania,https://en.wikipedia.org/wiki/Mauritania
Malawi,Malawi,https://en.wikipedia.org/wiki/Malawi
Niger,Niger,https://en.wikipedia.org/wiki/Niger
Israel,Israel,https://en.wikipedia.org/wiki/Israel
Burkina Faso,Burkina Faso,https://en.wikipedia.org/wiki/Burkina_Faso
Germany,Germany,https://en.wikipedia.org/wiki/Germany
Bolivia,Bolivia,https://en.wikipedia.org/wiki/Bolivia
Equatorial Guinea,Equatorial Guinea,https://en.wikipedia.org/wiki/Equatorial_Guinea
Angola,Angola,https://en.wikipedia.org/wiki/Angola
Liechtenstein,Liechtenstein,https://en.wikipedia.org/wiki/Liechtenstein
Mexico,Mexico,https://en.wikipedia.org/wiki/Mexico
Australia,Australia,https://en.wikipedia.org/wiki/Australia
SÃ£o TomÃ© and PrÃ­ncipe,SÃ£o TomÃ© and PrÃ­ncipe,https://en.wikipedia.org/wiki/S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe
